stasjon_nv,utg_dt,tog_nr,utgstasjon_kd,endestasjon_kd,innstilt tog,delinnstilt STV,tog_ktg,togtype_nv,linjenummer,lengde,motorvogntype,virksporfelt_nr,plansporfelt_nr,planlagt_ankomst,faktisk_ankomst,planlagt_avgang,faktisk_avgang,stasjonsbruk,asstog_nr
Stavanger,01.01.2017,715,KRS,STV,N,N,Pt,NSB Regiontog,_,105,73,3,3,01.01.2017 15:05,01.01.2017 15:05,_,01.01.2017 15:04,E,_
Stavanger,01.01.2017,716,STV,OSL,N,N,Pt,NSB Regiontog,_,105,73,1,3,01.01.2017 08:49,01.01.2017 08:14,01.01.2017 08:49,01.01.2017 08:50,U,_
Stavanger,01.01.2017,719,KRS,STV,N,N,Pt,NSB Regiontog,_,105,73,3,3,01.01.2017 17:19,01.01.2017 17:06,_,01.01.2017 17:09,E,_
Stavanger,01.01.2017,720,STV,OSL,N,N,Pt,NSB Regiontog,_,149,EL18,_,4,01.01.2017 10:17,01.01.2017 10:17,01.01.2017 10:17,01.01.2017 10:17,U,_
Stavanger,01.01.2017,723,OSL,STV,N,N,Pt,NSB Regiontog,_,149,EL18,1,1,01.01.2017 19:35,01.01.2017 19:35,_,01.01.2017 20:25,E,_
Stavanger,01.01.2017,724,STV,OSL,N,N,Pt,NSB Regiontog,_,105,73,3,3,01.01.2017 12:49,01.01.2017 08:01,01.01.2017 12:49,01.01.2017 12:49,U,_
Stavanger,01.01.2017,729,OSL,STV,N,N,Pt,NSB Regiontog,_,105,73,3,3,01.01.2017 22:04,01.01.2017 22:03,_,02.01.2017 00:08,E,_
Stavanger,01.01.2017,730,STV,OSL,N,N,Pt,NSB Regiontog,_,105,73,3,3,01.01.2017 15:33,01.01.2017 15:04,01.01.2017 15:33,01.01.2017 15:33,U,_
Stavanger,01.01.2017,733,OSL,STV,N,N,Pt,NSB Regiontog,_,105,73,3,3,02.01.2017 00:12,02.01.2017 00:12,_,02.01.2017 03:50,E,_
Stavanger,01.01.2017,734,STV,KRS,N,N,Pt,NSB Regiontog,_,105,73,3,3,01.01.2017 17:49,01.01.2017 17:08,01.01.2017 17:49,01.01.2017 17:49,U,_
Stavanger,01.01.2017,744,STV,OSL,N,N,Pt,NSB Regiontog,_,176,EL18,4,4,01.01.2017 22:37,01.01.2017 20:42,01.01.2017 22:37,01.01.2017 22:37,U,_
Stavanger,01.01.2017,745,OSL,STV,N,N,Pt,NSB Regiontog,_,149,EL18,1,1,02.01.2017 07:20,02.01.2017 07:21,_,02.01.2017 08:40,E,_
Stavanger,01.01.2017,3020,STV,EGS,N,N,Pt,NSB Lokaltog,_,84,72,4,1,01.01.2017 08:54,01.01.2017 08:00,01.01.2017 08:54,01.01.2017 08:54,U,_
Stavanger,01.01.2017,3021,EGS,STV,N,N,Pt,NSB Lokaltog,_,84,72,1,1,01.01.2017 10:30,01.01.2017 10:29,_,01.01.2017 10:42,E,_
Stavanger,01.01.2017,3024,STV,EGS,N,N,Pt,NSB Lokaltog,_,84,72,2,1,01.01.2017 09:54,01.01.2017 08:00,01.01.2017 09:54,01.01.2017 09:54,U,_
Stavanger,01.01.2017,3025,EGS,STV,N,N,Pt,NSB Lokaltog,_,84,72,1,1,01.01.2017 11:30,01.01.2017 11:29,_,01.01.2017 11:36,E,_
Stavanger,01.01.2017,3028,STV,EGS,N,N,Pt,NSB Lokaltog,_,84,72,1,1,01.01.2017 10:54,01.01.2017 10:42,01.01.2017 10:54,01.01.2017 10:54,U,_
Stavanger,01.01.2017,3029,EGS,STV,N,N,Pt,NSB Lokaltog,_,84,72,1,1,01.01.2017 12:30,01.01.2017 12:32,_,01.01.2017 12:32,E,_
Stavanger,01.01.2017,3032,STV,EGS,N,N,Pt,NSB Lokaltog,_,84,72,1,1,01.01.2017 11:54,01.01.2017 11:36,01.01.2017 11:54,01.01.2017 11:54,U,_
Stavanger,01.01.2017,3033,EGS,STV,N,N,Pt,NSB Lokaltog,_,84,72,1,1,01.01.2017 13:30,01.01.2017 13:29,_,01.01.2017 13:31,E,_
Stavanger,01.01.2017,3036,STV,EGS,N,N,Pt,NSB Lokaltog,_,84,72,1,1,01.01.2017 12:54,01.01.2017 12:32,01.01.2017 12:54,01.01.2017 12:55,U,_
Stavanger,01.01.2017,3037,EGS,STV,N,N,Pt,NSB Lokaltog,_,84,72,1,1,01.01.2017 14:30,01.01.2017 14:29,_,01.01.2017 14:32,E,_
Stavanger,01.01.2017,3040,STV,EGS,N,N,Pt,NSB Lokaltog,_,84,72,1,1,01.01.2017 13:54,01.01.2017 13:31,01.01.2017 13:54,01.01.2017 13:54,U,_
Stavanger,01.01.2017,3041,EGS,STV,N,N,Pt,NSB Lokaltog,_,84,72,1,1,01.01.2017 15:30,01.01.2017 15:31,_,01.01.2017 15:32,E,_
Stavanger,01.01.2017,3044,STV,EGS,N,N,Pt,NSB Lokaltog,_,84,72,1,1,01.01.2017 14:54,01.01.2017 14:32,01.01.2017 14:54,01.01.2017 14:54,U,_
