stasjon_nv;utg_dt;tog_nr;utgstasjon_kd;endestasjon_kd;innstilt tog;delinnstilt STV;tog_ktg;togtype_nv;linjenummer;lengde;motorvogntype;virksporfelt_nr;plansporfelt_nr;planlagt_ankomst;faktisk_ankomst;planlagt_avgang;faktisk_avgang;stasjonsbruk;asstog_nr
Stavanger;01.10.2017;709;KRS;STV;Y;Y;Pt;NSB Regiontog;_;_;_;_;3;01.10.2017 12:05;_;_;_;E;_
Stavanger;01.10.2017;712;STV;OSL;P;Y;Pt;NSB Regiontog;_;105;73;_;3;_;_;01.10.2017 06:48;_;U;_
Stavanger;01.10.2017;715;OSL;STV;P;Y;Pt;NSB Regiontog;_;210;73;_;3;01.10.2017 15:05;_;_;_;E;_
Stavanger;01.10.2017;716;STV;OSL;P;Y;Pt;NSB Regiontog;_;210;73;_;3;_;_;01.10.2017 08:49;_;U;_
Stavanger;01.10.2017;719;KRS;STV;N;N;Pt;NSB Regiontog;_;105;73;1;3;01.10.2017 17:19;01.10.2017 17:09;_;01.10.2017 17:26;E;_
Stavanger;01.10.2017;720;STV;OSL;P;Y;Pt;NSB Regiontog;_;317;EL18;_;4;_;_;01.10.2017 10:17;_;U;_
Stavanger;01.10.2017;723;OSL;STV;P;N;Pt;NSB Regiontog;_;281;EL18;3;1;01.10.2017 19:35;01.10.2017 20:33;_;01.10.2017 20:35;E;_
Stavanger;01.10.2017;724;STV;OSL;P;Y;Pt;NSB Regiontog;_;281;EL18;_;3;_;_;01.10.2017 12:49;_;U;_
Stavanger;01.10.2017;729;OSL;STV;P;N;Pt;NSB Regiontog;_;210;73;3;3;01.10.2017 22:04;01.10.2017 23:13;_;02.10.2017 00:34;E;_
Stavanger;01.10.2017;730;STV;OSL;P;N;Pt;NSB Regiontog;_;210;73;4;3;_;01.10.2017 07:36;01.10.2017 15:33;01.10.2017 15:33;U;_
Stavanger;01.10.2017;733;OSL;STV;P;N;Pt;NSB Regiontog;_;254;EL18;3;3;02.10.2017 00:12;02.10.2017 00:38;_;02.10.2017 00:57;E;_
Stavanger;01.10.2017;734;STV;KRS;N;N;Pt;NSB Regiontog;_;149;EL18;1;3;_;01.10.2017 17:27;01.10.2017 17:49;01.10.2017 17:50;U;_
Stavanger;01.10.2017;744;STV;OSL;P;N;Pt;NSB Regiontog;_;210;73;3;4;_;01.10.2017 20:35;01.10.2017 22:37;01.10.2017 22:39;U;_
Stavanger;01.10.2017;745;OSL;STV;P;N;Pt;NSB Regiontog;_;210;73;1;1;02.10.2017 07:20;02.10.2017 07:17;_;02.10.2017 09:40;E;_
Stavanger;01.10.2017;3020;STV;EGS;N;N;Pt;NSB Lokaltog;_;84;72;3;1;_;01.10.2017 07:36;01.10.2017 08:54;01.10.2017 08:54;U;_
Stavanger;01.10.2017;3021;EGS;STV;N;N;Pt;NSB Lokaltog;_;84;72;1;2;01.10.2017 10:30;01.10.2017 10:31;_;_;E;_
Stavanger;01.10.2017;3024;STV;EGS;N;N;Pt;NSB Lokaltog;_;84;72;2;1;_;01.10.2017 07:36;01.10.2017 09:54;01.10.2017 09:54;U;_
Stavanger;01.10.2017;3025;EGS;STV;N;N;Pt;NSB Lokaltog;_;84;72;2;2;01.10.2017 11:30;01.10.2017 11:29;_;01.10.2017 11:34;E;_
Stavanger;01.10.2017;3028;STV;EGS;N;N;Pt;NSB Lokaltog;_;84;72;1;1;_;01.10.2017 10:30;01.10.2017 10:54;01.10.2017 10:55;U;_
Stavanger;01.10.2017;3029;EGS;STV;N;N;Pt;NSB Lokaltog;_;84;72;2;2;01.10.2017 12:30;01.10.2017 12:29;_;01.10.2017 12:42;E;_
Stavanger;01.10.2017;3032;STV;EGS;N;N;Pt;NSB Lokaltog;_;84;72;2;1;_;01.10.2017 11:34;01.10.2017 11:54;01.10.2017 11:54;U;_
